1	8.00	0
1	8.00	0
2	8.00	0
3	8.00	0
		
5	4.00	0
4	8.00	0
3	8.00	0
3	8.00	0
5	2.67	0
		
2	4.00	0
2	8.00	0
2	8.00	0
2	8.00	0
5	2.67	0
1	4.00	0
1	8.00	0
1	8.00	0
1	8.00	0
6	2.67	0
5	2.00	0
0	4.00	0
4	8.00	0
5	8.00	0
6	4.00	0
5	8.00	0
4	8.00	0
4	8.00	0
6	2.67	0
5	4.00	0
4	8.00	0
3	8.00	0
3	8.00	0
5	2.67	0
4	4.00	0
3	4.00	0
2	4.00	0
1	4.00	0
2	2.00	0
1	4.00	0
2	8.00	0
3	8.00	0
5	4.00	0
4	8.00	0
3	8.00	0
3	8.00	0
5	2.67	0
2	4.00	0
2	8.00	0
2	8.00	0
2	8.00	0
5	2.67	0
1	4.00	0
1	8.00	0
1	8.00	0
1	8.00	0
6	2.67	0
5	2.00	0
0	4.00	0
4	8.00	0
5	8.00	0
6	4.00	0
5	8.00	0
4	8.00	0
4	8.00	0
6	2.67	0
5	4.00	0
4	8.00	0
3	8.00	0
3	8.00	0
5	2.67	0
4	4.00	0
3	4.00	0
2	4.00	0
1	4.00	0
1	2.00	0
0	2.00	0

